Subject,Domain,Cycle (QC),Competency,Notion bucket,Notes / examples
Preschool (Maternelle),Preschool Development,Preschool,Develop physical & motor domain,"movement, coordination, manipulation, balance","Preschool uses domains, not subject programs."
Preschool (Maternelle),Preschool Development,Preschool,Develop affective domain,"self-awareness, emotional regulation, confidence","Preschool uses domains, not subject programs."
Preschool (Maternelle),Preschool Development,Preschool,Develop social domain,"rules, cooperation, participation, conflict resolution","Preschool uses domains, not subject programs."
Preschool (Maternelle),Preschool Development,Preschool,Develop language domain,"oral expression, listening, vocabulary, discourse","Preschool uses domains, not subject programs."
Preschool (Maternelle),Preschool Development,Preschool,Develop cognitive domain,"exploration, reasoning, problem solving, representation","Preschool uses domains, not subject programs."
Français (langue d’enseignement),Langues,Cycle 1 (Gr.1–2),Lire des textes variés,genres/types de textes; stratégies de lecture; compréhension explicite/implicite,
Français (langue d’enseignement),Langues,Cycle 1 (Gr.1–2),Écrire des textes variés,planification; mise en texte; révision; adéquation à l’intention et au destinataire,
Français (langue d’enseignement),Langues,Cycle 1 (Gr.1–2),Communiquer oralement,interaction; prise de parole; écoute; codes/registres,
Français (langue d’enseignement),Langues,Cycle 1 (Gr.1–2),Apprécier des œuvres littéraires,repères culturels; auteurs/œuvres; vocabulaire d’appréciation,
Français (langue d’enseignement),Langues,Cycle 2 (Gr.3–4),Lire des textes variés,genres/types de textes; stratégies de lecture; compréhension explicite/implicite,
Français (langue d’enseignement),Langues,Cycle 2 (Gr.3–4),Écrire des textes variés,planification; mise en texte; révision; adéquation à l’intention et au destinataire,
Français (langue d’enseignement),Langues,Cycle 2 (Gr.3–4),Communiquer oralement,interaction; prise de parole; écoute; codes/registres,
Français (langue d’enseignement),Langues,Cycle 2 (Gr.3–4),Apprécier des œuvres littéraires,repères culturels; auteurs/œuvres; vocabulaire d’appréciation,
Français (langue d’enseignement),Langues,Cycle 3 (Gr.5–6),Lire des textes variés,genres/types de textes; stratégies de lecture; compréhension explicite/implicite,
Français (langue d’enseignement),Langues,Cycle 3 (Gr.5–6),Écrire des textes variés,planification; mise en texte; révision; adéquation à l’intention et au destinataire,
